person,company
Adam Terelak,Mediobanca
Adeel Khan,Barclays
Adrian Cighi,Credit Suisse
Alastair Borthwick,Bank of America
Alastair Ryan,Bank of America
Alastair Warr,Autonomous
Alvaro Serrano,Morgan Stanley
Amandeep Rakkar,Barclays
Amit Goel,Mediobanca
Andrew Coombs,Citigroup
Andrew Lim,Societe Generale
Anke Reingen,RBC
Anna Cross,Barclays
Axel Lehmann,Credit Suisse
Benjamin Goy,Deutsche Bank
Benjamin Toms,RBC
Betsy Graseck,Morgan Stanley
Brennan Hawken,UBS
Brian Kleinhanzl,KBW
Brian Moynihan,Bank of America
C. S. Venkatakrishnan,Barclays
Carey Halio,Goldman Sachs
Charles Peabody,Portales Partners
Charmsol Yoon,Lazard
Chris Cant,Autonomous
Chris Hallam,Goldman Sachs
Christian Bolu,Autonomous
Christopher Cant,Autonomous
Christopher Kotowski,Oppenheimer
Daniel Fannon,Jefferies
Daniel Regli,ZKB
Daniele Brupbacher,UBS
David Mathers,Credit Suisse
David Solomon,Goldman Sachs
Dennis Coleman,Goldman Sachs
Denny Nealon,Barclays
Devin Ryan,Citizens JMP
Dixit Joshi,Credit Suisse
Ebrahim Poonawala,Bank of America
Edward Firth,KBW
Elizabeth Lynn,Citigroup
Eoin Mullany,Berenberg
Erika Najarian,UBS
Ewen Stevenson,HSBC
Fahed Kunwar,Redburn
Flora Bocahut,Barclays
Georges Elhedery,HSBC
Gerard Cassidy,RBC
Glenn Schorr,Evercore
Gurpreet Singh Sahi,Goldman Sachs
Guy Stebbings,BNP Paribas
Jamie Dimon,JPMorgan
Jane Fraser,Citigroup
Jason Napier,UBS
Jeff Harte,Piper Sandler
Jennifer Landis,Citigroup
Jennifer Piepszak,JPMorgan
Jeremy Barnum,JPMorgan
Jeremy Hugh,CICC
Jeremy Sigee,BNP Paribas
Jerneej Omahen,Goldman Sachs
Jes Staley,Barclays
Jim Mitchell,Seaport Global Securities
John Hinshaw,HSBC
John McDonald,Truist Securities
Jon Bingham,HSBC
Jon Peace,UBS
Jonathan Pierce,Jefferies
Joseph Dickerson,Jefferies
Katherine Lei,JPMorgan
Kenneth Usdin,Jefferies
Kinner Lakhani,UBS
Kian Abouhossein,JPMorgan
Kunpeng Ma,China Securities
Lee McEntire,Bank of America
Magdalena Stoklosa,Morgan Stanley
Manan Gosalia,Morgan Stanley
Manus Costello,Autonomous
Mark Mason,Citigroup
Martin Leitgeb,Goldman Sachs
Matthew O'Connor,Deutsche Bank
Michael Corbat,Citigroup
Michael Mayo,Wells Fargo Securities
Mike Carrier,Bank of America
Mike O'Connor,Citigroup
Nicholas Lord,Morgan Stanley
Nicholas Payen,Kepler Cheuvreux
Noel Quinn,HSBC
Nuno Matos,HSBC
Omar Keenan,Credit Suisse
Patrick Lee,Santander
Paul Donofrio,Bank of America
Perlie Mong,Bank of America
Peter Wong,HSBC
Piers Brown,HSBC
Raul Sinha,JPMorgan
Richard O'Connor,HSBC
Robert Noble,Deutsche Bank
Robin Down,HSBC
Rohith Chandra-Rajan,Bank of America
Ryan Kenny,Morgan Stanley
Saul Martinez,HSBC
Scott Siefers,Piper Sandler
Sheng Wang,Wolfe Research
Stefan Stalmann,Autonomous
Stephen Scherr,Goldman Sachs
Steven Chubak,Wolfe Research
Thomas Gottstein,Credit Suisse
Thomas Rayner,Numis
Tom Hallett,KBW
Tushar Morzaria,Barclays
Ulrich Koerner,Credit Suisse
Unknown,Unknown
Vim Maru,Barclays
Vivek Juneja,JPMorgan
Yafei Tian,Citigroup
Unidentified Company Representative,HSBC
